cell,rep,seed,r2_ci_low,r2_ci_high,chi2_ci_low,chi2_ci_high,ci_reliable,n_effective,base_converged,n_items_per_group,n_raters,n_categories,thresholds,trait_slope,rater_sd,mu_focal,dif_uniform,dif_nonuniform,po_violation,conditioner_reliability,n_items_focal,conditioner,block
0,30,40260732,0.00244404659218482,0.07201907910718373,0.35811694176990655,13.192591125632052,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,31,40260733,2.703200926540719e-05,0.037217927469800134,0.005041889640803716,6.2221446552505615,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,32,40260734,1.5544217514213708e-05,0.019383727585819768,0.003359534478998173,3.546598588791723,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,33,40260735,5.8572980755485194e-05,0.02533144528440888,0.013234268237184425,5.224091204792739,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,34,40260736,0.0001916137038376042,0.04144924704214618,0.041077578522921654,8.15395211329097,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,35,40260737,2.4901560843343512e-05,0.013138665620059707,0.004148765248958367,2.41818039786567,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,36,40260738,7.753755827596267e-06,0.0008292813596703557,0.0012815733850692183,0.16410725829577286,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,37,40260739,2.0643092353019917e-05,0.009172494646594986,0.003420913413396635,1.445885715457482,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,38,40260740,4.621018362071209e-05,0.03406421624590114,0.01109839810838533,7.366867900408293,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,39,40260741,0.0015053309176732991,0.09805869271699862,0.3608274426007431,23.246492195034723,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,40,40260742,0.0021614298524534467,0.0700081871953908,0.38464159276115767,13.631669163514568,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,41,40260743,6.992088796677878e-05,0.007517895080648547,0.016148758411207047,1.6358218516370608,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,42,40260744,7.178272953002673e-05,0.011711900268558475,0.017810601831878967,2.6629108922064613,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,43,40260745,0.00019739871976195216,0.02851335999426159,0.041109404983450636,5.716409853341396,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,44,40260746,0.0004475881682860239,0.05085513840826754,0.06286231429105643,9.948648378263142,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,45,40260747,9.96925369839023e-05,0.04005433493742843,0.022131377546404197,9.045118479536315,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,46,40260748,0.0021360574995556232,0.07687349813368478,0.2299986746538078,14.721730626402767,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,47,40260749,4.799618331053405e-05,0.013682483717349156,0.009313255637128481,3.0920311269399168,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,48,40260750,0.01572275270350792,0.13727500588643926,2.980529216870689,26.4645274479629,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
0,49,40260751,1.0344300923531791e-05,0.015505338355622835,0.001610085954403946,2.715110385226678,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,0,40360702,1.4453833436777248e-05,0.0017888804906248893,0.011295618287622086,1.3504531041641241,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,1,40360703,2.985605341143411e-05,0.010079149188115049,0.02242799036603686,7.304360055326783,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
